epoch,epoch_loss,split,loss,acc,sample_fn
0,1.7057352,train,1.3935617,0.5127805809921302,gumbel_soft
0,1.7057352,val,1.3895242,0.5164528722810932,gumbel_soft
0,1.7057352,test,1.4127829,0.507984282250648,gumbel_soft
1,1.3378946,train,1.2978294,0.5191345335243672,gumbel_soft
1,1.3378946,val,1.297257,0.52221602528351,gumbel_soft
1,1.3378946,test,1.3073472,0.5139202407825433,gumbel_soft
2,1.2748356,train,1.2414178,0.5421105089391391,gumbel_soft
2,1.2748356,val,1.2418455,0.5448038668897565,gumbel_soft
2,1.2748356,test,1.2552391,0.5366608143131845,gumbel_soft
3,1.210402,train,1.1644982,0.5601964326501796,gumbel_soft
3,1.210402,val,1.1602384,0.5639524075106898,gumbel_soft
3,1.210402,test,1.1819084,0.5524621687149904,gumbel_soft
4,1.1247796,train,1.0839716,0.5842521647044167,gumbel_soft
4,1.1247796,val,1.0993558,0.5813348205986243,gumbel_soft
4,1.1247796,test,1.0949457,0.582392776523702,gumbel_soft
5,1.0356045,train,0.9859358,0.6114121970971158,gumbel_soft
5,1.0356045,val,0.9897647,0.6097787692879717,gumbel_soft
5,1.0356045,test,1.0051489,0.6026251985619931,gumbel_soft
6,0.93607336,train,0.88269275,0.6467326979380801,gumbel_soft
6,0.93607336,val,0.8762734,0.6489124372559956,gumbel_soft
6,0.93607336,test,0.9013098,0.636903268957445,gumbel_soft
7,0.84329313,train,0.79608345,0.6750451628979007,gumbel_soft
7,0.84329313,val,0.77777046,0.6856292991262316,gumbel_soft
7,0.84329313,test,0.81053823,0.6752779867904022,gumbel_soft
8,0.76136476,train,0.7406391,0.691366099794431,gumbel_soft
8,0.76136476,val,0.7307754,0.6967837888083287,gumbel_soft
8,0.76136476,test,0.7529711,0.6889056098988379,gumbel_soft
9,0.6939542,train,0.65162224,0.735542681534085,gumbel_soft
9,0.6939542,val,0.63975954,0.7384272169548243,gumbel_soft
9,0.6939542,test,0.6657019,0.7307081347713402,gumbel_soft
10,0.6334367,train,0.6137705,0.7489877281505015,gumbel_soft
10,0.6334367,val,0.6164551,0.7487451199107641,gumbel_soft
10,0.6334367,test,0.63592434,0.7404063205417607,gumbel_soft
11,0.6102667,train,0.603281,0.7543761290724476,gumbel_soft
11,0.6102667,val,0.60453165,0.753950548429076,gumbel_soft
11,0.6102667,test,0.6196534,0.7475127497700861,gumbel_soft
12,0.5952928,train,0.5837776,0.7602940260387466,gumbel_soft
12,0.5952928,val,0.5743933,0.7678936605316974,gumbel_soft
12,0.5952928,test,0.58890265,0.7536995234512165,gumbel_soft
13,0.5745337,train,0.55923986,0.7696276916048921,gumbel_soft
13,0.5745337,val,0.5584841,0.7705893288715374,gumbel_soft
13,0.5745337,test,0.58006895,0.7577125658389767,gumbel_soft
14,0.55947155,train,0.5519928,0.7713615315932639,gumbel_soft
14,0.55947155,val,0.54490936,0.7725413645659045,gumbel_soft
14,0.55947155,test,0.5696009,0.7602207173313268,gumbel_soft
15,0.54960465,train,0.56270385,0.7660354243235947,gumbel_soft
15,0.54960465,val,0.5638019,0.7691020635805912,gumbel_soft
15,0.54960465,test,0.5800945,0.7577961708887216,gumbel_soft
16,0.55665267,train,0.55375856,0.7691085778359186,gumbel_soft
16,0.55665267,val,0.56142884,0.7666852574828035,gumbel_soft
16,0.55665267,test,0.5737842,0.7601371122815818,gumbel_soft
17,0.5343353,train,0.5229134,0.7850142237172699,gumbel_soft
17,0.5343353,val,0.52396387,0.7844394868934746,gumbel_soft
17,0.5343353,test,0.5382003,0.7719254242956275,gumbel_soft
18,0.530061,train,0.53071564,0.7781411574160593,gumbel_soft
18,0.530061,val,0.5126712,0.7824874511991077,gumbel_soft
18,0.530061,test,0.5598877,0.7647353900175571,gumbel_soft
19,0.52801734,train,0.53222346,0.7780165701115056,gumbel_soft
19,0.52801734,val,0.51886976,0.7824874511991077,gumbel_soft
19,0.52801734,test,0.5579296,0.7673271465596522,gumbel_soft
20,0.5222937,train,0.5259152,0.7814738678128699,gumbel_soft
20,0.5222937,val,0.512955,0.7846253950548429,gumbel_soft
20,0.5222937,test,0.5399868,0.7704205334002173,gumbel_soft
21,0.5203036,train,0.51789546,0.7854814261093461,gumbel_soft
21,0.5203036,val,0.50109893,0.7894590072504183,gumbel_soft
21,0.5203036,test,0.52409023,0.7789482484742078,gumbel_soft
22,0.52746487,train,0.535475,0.7772171349072863,gumbel_soft
22,0.52746487,val,0.5454441,0.7706822829522216,gumbel_soft
22,0.52746487,test,0.5528405,0.7684976172560822,gumbel_soft
23,0.52107155,train,0.5132467,0.7883573163894599,gumbel_soft
23,0.52107155,val,0.50781554,0.787321063394683,gumbel_soft
23,0.52107155,test,0.5325826,0.7767745171808377,gumbel_soft
24,0.5215532,train,0.51168287,0.7869660914886106,gumbel_soft
24,0.5215532,val,0.5049505,0.7894590072504183,gumbel_soft
24,0.5215532,test,0.5291854,0.782041635314773,gumbel_soft
25,0.5188263,train,0.5050625,0.7882327290849063,gumbel_soft
25,0.5188263,val,0.5008543,0.7900167317345231,gumbel_soft
25,0.5188263,test,0.50823826,0.7841317615583981,gumbel_soft
26,0.5132028,train,0.50796974,0.7869141801117133,gumbel_soft
26,0.5132028,val,0.5184927,0.7857408440230527,gumbel_soft
26,0.5132028,test,0.53345215,0.7783630131259928,gumbel_soft
27,0.51159394,train,0.51784664,0.7856890716169356,gumbel_soft
27,0.51159394,val,0.4996154,0.7921546755902584,gumbel_soft
27,0.51159394,test,0.5233767,0.7832121060112031,gumbel_soft
28,0.51520216,train,0.50912917,0.7876201748375173,gumbel_soft
28,0.51520216,val,0.495519,0.7893660531697342,gumbel_soft
28,0.51520216,test,0.52894324,0.7785302232254828,gumbel_soft
29,0.5074806,train,0.50832057,0.7850557528187878,gumbel_soft
29,0.5074806,val,0.50924987,0.7841606246514222,gumbel_soft
29,0.5074806,test,0.5284038,0.7731795000418025,gumbel_soft
30,0.5111914,train,0.521351,0.7822629207417098,gumbel_soft
30,0.5111914,val,0.52311456,0.7776538390035322,gumbel_soft
30,0.5111914,test,0.5428423,0.7730958949920576,gumbel_soft
31,0.5166519,train,0.50328,0.7875163520837226,gumbel_soft
31,0.5166519,val,0.5090417,0.7883435582822086,gumbel_soft
31,0.5166519,test,0.5267081,0.7761056767828777,gumbel_soft
32,0.51098114,train,0.5167402,0.7831350318735855,gumbel_soft
32,0.51098114,val,0.5092476,0.7838817624093698,gumbel_soft
32,0.51098114,test,0.54464036,0.7682468021068473,gumbel_soft
33,0.5190903,train,0.52916026,0.7818372474511514,gumbel_soft
33,0.5190903,val,0.52474916,0.7864844766685257,gumbel_soft
33,0.5190903,test,0.54949975,0.7737647353900176,gumbel_soft
34,0.51927286,train,0.5124549,0.7845677858759526,gumbel_soft
34,0.51927286,val,0.5176428,0.7782115634876371,gumbel_soft
34,0.51927286,test,0.53606176,0.7720090293453724,gumbel_soft
35,0.50857544,train,0.5059928,0.7879835544757989,gumbel_soft
35,0.50857544,val,0.50988936,0.7798847369399516,gumbel_soft
35,0.50857544,test,0.5145062,0.781623610066048,gumbel_soft
36,0.5199673,train,0.50649846,0.7852841628771362,gumbel_soft
36,0.5199673,val,0.4990803,0.7920617215095743,gumbel_soft
36,0.5199673,test,0.5215963,0.7739319454895076,gumbel_soft
37,0.5119676,train,0.5127715,0.7833842064826928,gumbel_soft
37,0.5119676,val,0.49867234,0.7902026398958915,gumbel_soft
37,0.5119676,test,0.5227314,0.7776941727280328,gumbel_soft
